Time,Open,High,Low,Close,Volume
2023-08-31,104.5200,104.5800,102.8600,102.9000,4042319
2023-08-30,104.0800,105.0800,104.0800,104.4100,3711408
2023-08-29,103.2400,103.9400,102.9800,103.8700,4515578
2023-08-28,105.0700,105.2200,101.8850,102.7900,5862577
2023-08-25,104.0200,104.7800,103.2900,104.2100,3000767
2023-08-24,104.9100,105.8500,103.6300,103.7500,3529600
2023-08-23,105.7000,106.1113,104.7950,105.1300,3403443
2023-08-22,103.8800,105.5300,103.7200,105.1500,4840503
2023-08-21,103.7800,104.4050,103.3600,103.8700,2954677
2023-08-18,104.5600,105.0600,103.2800,103.7100,4809775
2023-08-17,105.2000,105.9100,104.4800,104.9300,4175412
2023-08-16,104.4600,105.3800,104.4400,104.5300,4086381
2023-08-15,106.1500,106.1500,104.5500,104.9400,3150639
2023-08-14,105.1400,106.2200,105.1400,106.1000,3076053
2023-08-11,104.2200,105.4100,103.6900,105.3100,3478619
2023-08-10,105.4800,107.0000,104.6200,104.7400,4708261
2023-08-09,105.5000,106.9000,105.1800,105.3000,5135256
2023-08-08,107.6000,107.6000,103.6700,105.5800,7544289
2023-08-07,107.9900,108.5900,107.6300,108.4500,3632470
2023-08-04,107.3200,108.7800,107.2800,107.6500,3231105
2023-08-03,107.7100,108.3100,107.1400,107.5400,4947831
2023-08-02,110.0200,110.2000,108.0600,108.6200,4699507
2023-08-01,110.7100,111.2500,110.3000,110.5300,3736346
2023-07-31,112.8500,112.8900,110.7000,111.3300,3930962
2023-07-28,113.1800,113.5200,112.3200,112.7300,3409325
2023-07-27,114.4600,114.5900,112.5100,112.6500,4763026
2023-07-26,112.5000,114.2950,112.3800,114.0800,3682546
2023-07-25,113.1100,113.5000,112.5100,112.9300,4732569
2023-07-24,113.8400,115.8300,113.1800,114.6200,5665884
2023-07-21,112.8500,114.7900,112.3300,114.2900,7062886
2023-07-20,108.1000,112.5650,107.7800,111.8300,8768627
2023-07-19,107.0700,108.0900,107.0600,107.2800,6225900
2023-07-18,106.8100,107.1900,105.9600,106.9500,3913954
2023-07-17,107.5400,107.7100,106.7135,107.0000,4581024
2023-07-14,108.0000,108.4700,107.1800,107.9300,4016006
2023-07-13,106.6900,107.7900,106.4500,107.7400,4936784
2023-07-12,108.0600,108.2100,106.6600,106.8500,4845272
2023-07-11,107.0200,107.6800,106.7700,107.5000,3899709
2023-07-10,106.5800,107.7500,106.2900,107.0200,5259468
2023-07-07,106.3000,107.9324,106.0700,106.3500,5053690
2023-07-06,106.7500,107.4500,106.1400,107.2000,5325319
2023-07-05,106.7200,107.8300,106.4510,107.3700,4968700
2023-07-03,108.2500,108.4800,107.0300,107.2200,2267993
2023-06-30,108.0000,109.3400,107.7000,109.0200,4449245
2023-06-29,107.0300,107.8600,106.9700,107.6600,3417445
2023-06-28,107.9600,108.1500,107.3600,107.6100,3900063
2023-06-27,108.8900,108.9400,106.7700,107.7900,4849727
2023-06-26,108.1000,109.2100,106.8000,108.5100,6134710
2023-06-23,108.2000,108.5000,107.3700,108.0500,5647159
2023-06-22,106.6900,108.3600,106.4400,108.2500,5480569
2023-06-21,106.6200,106.7600,105.6100,106.2500,4428688
2023-06-20,105.2000,107.6700,104.9000,106.7000,6573157
2023-06-16,105.4400,106.5700,105.3700,106.2000,10020896
2023-06-15,103.2600,105.3200,103.1100,105.0200,6378577
2023-06-14,103.3100,104.1500,102.8200,103.2500,5020755
2023-06-13,101.4900,102.0700,100.9400,101.8600,4642356
2023-06-12,101.8400,101.9100,100.7900,101.4000,3629249
2023-06-09,100.9700,101.9750,100.5400,101.6900,4275980
2023-06-08,101.2500,101.3800,100.5700,100.7800,5159552
2023-06-07,102.4200,102.4900,101.2500,101.6600,6231356
2023-06-06,103.8700,104.0400,102.2150,102.6200,4044480
2023-06-05,104.0600,105.0050,103.3400,103.7600,3566085
2023-06-02,103.3100,104.5000,102.8500,104.2000,6024366
2023-06-01,101.9100,102.9000,100.9100,102.8200,4603956
2023-05-31,101.5000,102.2700,100.3797,102.0000,7040021
2023-05-30,102.2500,102.5200,101.5700,101.7100,5168779
2023-05-26,102.1500,103.4500,102.0300,102.8700,4911806
2023-05-25,103.2700,103.5250,101.3428,102.1400,6734536
2023-05-24,105.6500,105.6500,103.9900,104.0400,4507605
2023-05-23,107.3000,107.4800,105.5200,105.7400,4337824
2023-05-22,108.6800,109.3200,108.0700,108.2500,2809637
2023-05-19,108.9800,109.9795,108.4005,108.9300,4487698
2023-05-18,108.7300,108.8400,107.8700,108.4700,3481596
2023-05-17,109.7700,109.9800,107.9700,108.8200,3800970
2023-05-16,109.5400,110.4550,109.2600,109.3900,3394395
2023-05-15,110.6400,110.9799,109.5382,109.8400,3019956
2023-05-12,109.7600,110.5450,109.4800,110.4900,3325163
2023-05-11,110.0600,110.4700,109.2600,110.0500,3879469
2023-05-10,110.9000,110.9700,109.6250,110.6900,3129099
2023-05-09,110.1300,111.0300,109.2900,110.2500,3274338
2023-05-08,110.4600,111.5829,110.2927,110.9000,2445474
2023-05-05,111.3700,111.7500,111.0450,111.2600,4025017
2023-05-04,111.4500,111.4900,110.5600,110.8600,4070791
2023-05-03,111.8100,112.9500,111.4320,111.7600,5602034
2023-05-02,111.0600,111.9400,110.4300,111.5000,4998172
2023-05-01,110.4600,111.5700,109.9300,111.1100,3722880
2023-04-28,109.4400,110.8500,109.3698,110.4700,4835966
2023-04-27,108.7100,109.5400,107.6700,109.5000,4257373
2023-04-26,109.3200,109.4200,108.2700,108.7500,4128096
2023-04-25,110.3900,110.5300,109.6700,109.9700,5636787
2023-04-24,111.7500,111.7500,110.1400,110.4000,5341897
2023-04-21,110.8800,112.1200,110.8800,111.6600,6301173
2023-04-20,112.2500,112.2900,110.0000,110.3500,7413167
2023-04-19,108.5000,112.7000,108.1500,112.2900,12425378
2023-04-18,105.4400,105.7000,103.9300,104.1500,6552086
2023-04-17,104.0000,104.8499,104.0000,104.5200,4768974
2023-04-14,103.6100,104.3500,103.4600,103.9600,5043723
2023-04-13,102.7500,103.7100,101.8000,103.6100,4778773
2023-04-12,103.3900,103.8400,102.3100,102.5600,4560728
2023-04-11,104.2000,104.7000,103.0950,103.2900,4658107
2023-04-10,104.4200,104.9100,103.0600,103.7000,4900273
2023-04-06,104.4900,105.5500,104.1800,104.9300,5065054
2023-04-05,102.6300,104.2900,102.5000,104.2100,7298334
2023-04-04,101.9000,103.3400,101.8300,102.8000,7979045
2023-04-03,100.8000,101.6600,100.0400,101.5900,5432562
2023-03-31,99.9150,101.4100,99.7300,101.2600,6442440
2023-03-30,99.3800,99.4800,98.5100,99.0800,5199311
2023-03-29,98.0100,98.7400,97.2500,98.6200,6780210
2023-03-28,98.1000,98.2400,96.6100,97.1100,4815443
2023-03-27,99.0000,99.4800,98.2700,98.4600,4627788
2023-03-24,97.0400,98.0800,96.8100,98.0500,5269219
2023-03-23,96.9000,97.8100,96.4400,97.0400,4525068
2023-03-22,98.6100,99.3100,96.8400,96.8600,3606765
2023-03-21,98.1700,98.4100,97.2850,98.3300,4475142
2023-03-20,97.2550,98.2000,97.1750,97.8700,6075767
2023-03-17,99.0100,99.2000,96.5100,97.0100,10848298
2023-03-16,97.0600,99.2800,97.0000,99.0300,5289406
2023-03-15,97.5000,97.9407,96.7013,97.8000,5712263
2023-03-14,99.2800,99.5000,97.3400,98.5500,5093942
2023-03-13,96.6000,99.2000,96.3900,98.1900,6553155
2023-03-10,97.7600,98.3950,96.5550,96.9600,7042464
2023-03-09,99.8900,99.9700,97.5000,97.8500,5145993
2023-03-08,99.9150,100.2675,99.2600,99.4000,6252798
2023-03-07,102.8600,103.1000,99.8200,99.9800,6349041
2023-03-06,104.5100,104.6000,102.6300,102.7500,5005142
2023-03-03,102.9000,104.5100,102.7600,104.4500,4982559
2023-03-02,100.2700,102.9800,100.2700,102.6300,5209962
2023-03-01,100.7000,101.3600,100.3900,100.8300,3963575
2023-02-28,99.8400,102.4150,99.6900,101.7200,7877048
2023-02-27,101.2800,101.3110,99.6600,99.7700,4489818
2023-02-24,101.4500,101.8000,99.8900,100.4600,5476807
2023-02-23,103.2400,103.7800,101.6600,102.5500,4611065
2023-02-22,103.2400,103.8450,100.5000,102.6900,8900923
2023-02-21,105.8500,106.1400,103.3500,103.6500,5204362
2023-02-17,105.5400,106.9607,105.4900,106.7400,3564224
2023-02-16,105.7700,107.3890,105.6700,106.0800,3299037
2023-02-15,106.7600,107.3100,106.2800,107.2800,4060340
2023-02-14,108.1900,108.3400,106.3584,107.2600,4243962
2023-02-13,108.3200,109.1400,107.7700,108.5200,3711019
2023-02-10,108.2600,108.8950,107.8000,108.1600,4186301
2023-02-09,110.6900,111.2700,107.5100,108.0700,3912740
2023-02-08,111.4000,111.8700,109.7450,110.2000,4222392
2023-02-07,110.0400,112.4100,109.8800,111.9900,3401571
2023-02-06,111.5700,111.6900,110.4600,110.7500,4145574
2023-02-03,111.8100,112.3290,110.6600,111.7900,3754480
2023-02-02,111.2800,112.3700,110.8900,112.2500,5051842
2023-02-01,110.7800,112.0850,109.6700,111.8200,4532383
2023-01-31,109.7900,110.6600,108.8700,110.5500,5698310
2023-01-30,109.8100,110.6700,109.6200,109.8100,4434820
2023-01-27,110.6500,111.2600,109.8100,109.9500,4860837
2023-01-26,111.2500,111.6200,110.1100,111.0700,4159585
2023-01-25,110.0000,112.2400,109.5900,111.0000,6070815
2023-01-24,113.0000,114.1700,112.2800,112.5300,4662038
2023-01-23,112.4300,114.7000,112.4200,114.0100,6115437
2023-01-20,112.2000,113.0350,111.6500,112.8200,5078299
2023-01-19,111.0600,112.3200,110.5900,111.8000,6157711
2023-01-18,113.2100,113.5800,111.1900,111.5100,4288526
2023-01-17,113.5000,114.2800,113.0600,113.3900,5710950
2023-01-13,111.2700,113.8900,111.1900,113.5100,5348858
2023-01-12,111.9900,112.3858,110.8900,111.3600,4697688
2023-01-11,114.8700,115.6900,112.1410,113.1500,5350290
2023-01-10,112.5000,114.0800,112.3200,113.8500,5591671
2023-01-09,113.5200,113.6700,112.0200,112.1500,7277699
2023-01-06,112.0000,112.7350,110.2100,112.3300,3800373
2023-01-05,111.1000,111.7100,110.3600,110.8000,4897018
2023-01-04,111.0100,111.9400,110.3500,111.2100,4395693
2023-01-03,110.5100,111.3300,108.7500,109.5800,4171957
2022-12-30,109.8000,110.1200,108.6600,109.7900,3470991
2022-12-29,108.7500,110.7603,108.4600,110.3100,3047825
2022-12-28,109.0200,110.1000,107.7350,107.8300,3265243
2022-12-27,108.3500,109.0500,107.3800,108.5700,2927358
2022-12-23,107.6700,108.4000,107.1000,108.1800,2618442
2022-12-22,107.7100,108.1600,106.2200,108.0300,3311082
2022-12-21,107.0900,108.3900,107.0600,108.1400,3228802
2022-12-20,106.6100,106.9900,105.6150,106.4900,3672980
2022-12-19,106.7400,107.1800,105.8300,106.5900,4352053
2022-12-16,107.7000,107.8500,105.7800,106.9100,7976106
2022-12-15,109.8500,110.0000,108.4100,108.5200,4947838
2022-12-14,111.3700,112.9100,110.5300,111.2600,5614861
2022-12-13,112.3200,112.7000,111.0600,111.5300,6245965
2022-12-12,107.7300,109.5900,107.7300,109.4900,4752547
2022-12-09,106.7300,108.4750,106.4500,107.5100,5346417
2022-12-08,104.6600,107.0850,104.2300,106.9200,4607882
2022-12-07,104.0200,105.4900,104.0200,104.8100,3592423
2022-12-06,104.9900,105.4100,103.1300,103.8600,4175718
2022-12-05,106.8900,107.0600,105.0600,105.4100,4687130
2022-12-02,106.7500,108.1400,106.2000,108.0900,4944080
2022-12-01,108.2400,108.6500,107.3500,107.9300,5076191
2022-11-30,105.1300,107.7000,103.4400,107.5800,12737461
2022-11-29,105.0000,105.3800,104.4800,105.0000,4832328
2022-11-28,106.7200,107.7500,105.1300,105.3900,4149823
2022-11-25,106.6700,107.3490,106.5050,106.9600,2558110
2022-11-23,104.9700,106.4700,104.4000,106.0200,4617639
2022-11-22,103.9800,105.0000,102.8700,104.8700,4511674
2022-11-21,103.7300,104.9000,103.6700,103.8800,4148823
2022-11-18,103.5200,104.1900,102.9400,103.8700,3931937
2022-11-17,102.6700,103.0900,101.5500,102.5600,3335914
2022-11-16,104.2400,105.3000,103.2550,103.6100,3292853
2022-11-15,103.4500,104.4800,102.3800,103.1400,5262943
2022-11-14,103.6700,104.3100,101.9900,102.0100,5570279
2022-11-11,104.6400,105.9100,103.9300,104.0900,7106889
2022-11-10,103.0300,104.4400,102.1400,104.2300,5907463
2022-11-09,99.9100,101.2733,99.2500,99.4600,5339555
2022-11-08,99.9000,100.2600,98.9500,99.6400,5708267
2022-11-07,98.7800,100.0400,98.1300,99.5000,4903733
2022-11-04,97.8300,98.2300,96.1516,98.0700,4902826
2022-11-03,96.8100,97.0100,95.3500,96.4500,4873452
2022-11-02,98.7300,101.2300,98.0200,98.0400,5196873
2022-11-01,99.6200,100.3174,98.6400,99.3100,5249432
2022-10-31,99.1300,99.5000,98.1500,98.9400,5885643
2022-10-28,97.3200,100.0200,97.2000,99.4900,5768311
2022-10-27,98.6700,98.6700,96.7700,96.9300,6610164
2022-10-26,98.0900,99.5174,97.8800,98.4200,8290850
2022-10-25,98.0700,98.9000,97.6600,97.9500,7114430
2022-10-24,96.0500,98.4900,95.9000,98.2900,8118109
2022-10-21,94.3500,95.5200,93.2500,95.0600,9859014
2022-10-20,96.5200,97.7400,95.0100,95.2100,12651196
2022-10-19,101.0000,101.1700,96.3200,98.1100,18525150
2022-10-18,105.8100,106.6650,104.6600,104.9800,8943876
2022-10-17,102.1200,103.9500,101.8700,103.5200,7315830
2022-10-14,103.1800,103.9200,100.7900,100.9100,6087312
2022-10-13,97.9300,103.0800,97.6800,102.4700,6250877
2022-10-12,101.2500,101.9100,100.0600,100.0800,4106306
2022-10-11,100.8500,102.7500,100.0900,101.7500,5304759
2022-10-10,102.1200,102.3200,100.3200,101.1300,4044779
2022-10-07,102.5000,105.0900,101.0400,101.7900,8485953
2022-10-06,102.8600,103.2050,101.8800,102.4500,6348253
2022-10-05,102.1700,103.9600,101.9200,103.3800,3803352
2022-10-04,100.7400,103.2100,100.5400,103.0800,5710768
2022-10-03,97.8000,100.1900,97.4000,99.5200,4817571
2022-09-30,98.7100,99.5000,96.6700,96.7600,6728558
2022-09-29,98.8500,99.1800,97.5450,98.2900,6698947
2022-09-28,98.0700,99.2650,97.5700,98.7200,7206878
2022-09-27,100.2500,100.7300,97.9100,98.3300,6377750
2022-09-26,100.1800,100.6500,99.2600,99.8400,6037785
2022-09-23,100.3900,100.8850,98.8100,100.6800,6214588
2022-09-22,100.0500,101.8300,99.8480,101.0700,5455145
2022-09-21,102.8700,103.9200,100.6200,100.6500,4720662
2022-09-20,102.7900,103.0300,101.2300,102.3100,4617205
2022-09-19,103.2500,104.1100,102.2500,104.0900,3816242
2022-09-16,104.7850,105.0000,103.4100,104.0000,8898182
2022-09-15,106.0600,107.0800,104.8600,105.0600,4237014
2022-09-14,105.9300,106.7850,105.0100,105.7800,3264268
2022-09-13,107.2200,107.5800,105.5800,105.8400,5300765
2022-09-12,108.7800,109.6650,108.5100,109.2900,4358106
2022-09-09,107.1300,109.0700,107.0300,108.4800,5781191
2022-09-08,103.6300,107.5700,103.5900,106.9900,8700778
2022-09-07,102.8800,104.9650,102.7400,104.7000,5100869
2022-09-06,102.5000,103.9300,102.2350,102.7100,4647980
2022-09-02,105.4500,105.6500,101.9800,102.5000,4103272
2022-09-01,102.3600,104.9000,102.0300,104.8400,4398006
2022-08-31,102.9700,104.0500,102.6000,102.6500,7600691
2022-08-30,102.4300,102.7200,101.8400,102.2000,4629706
2022-08-29,101.5000,102.6100,101.2100,101.8400,4229752
2022-08-26,105.9400,106.3000,101.6300,101.9000,5440668
2022-08-25,105.2400,105.9600,104.5500,105.8900,5249184
2022-08-24,105.9000,106.1700,105.1200,105.4400,4278392
2022-08-23,106.8200,106.8700,105.5200,106.0100,4203048
2022-08-22,108.9700,109.3100,106.8900,107.4500,3496768
2022-08-19,110.4800,110.8000,109.4000,110.0600,5092772
2022-08-18,110.9300,110.9300,108.7900,109.9600,4143716
2022-08-17,111.6300,112.1300,110.3700,110.5500,3053535
2022-08-16,111.4600,112.5300,111.4300,112.0300,2897488
2022-08-15,111.3100,112.3100,111.0200,111.9000,2949562
2022-08-12,110.8600,111.5300,110.4350,111.4800,2813381
2022-08-11,110.8400,112.1312,110.3900,110.4900,3281475
2022-08-10,109.7600,110.3800,109.2000,110.2700,3960862
2022-08-09,108.0900,108.8000,107.5500,107.9100,3943559
2022-08-08,109.7900,109.9800,108.5900,109.0000,2283838
2022-08-05,108.7500,109.3150,108.3900,109.2500,2789645
2022-08-04,110.4100,110.6200,109.5800,109.7200,2794119
2022-08-03,109.1100,109.9700,108.2700,109.6100,3866170
2022-08-02,109.6200,110.9000,108.5400,108.6400,3093842
2022-08-01,108.3800,109.9000,108.1100,109.5200,3872074
2022-07-29,109.8300,109.8700,108.5550,108.8400,4922856
2022-07-28,110.1000,111.3500,108.5400,110.3600,4736085
2022-07-27,109.3750,110.6400,108.6200,109.9900,3303518
2022-07-26,108.7100,109.8750,108.3000,109.0900,4823970
2022-07-25,109.0900,109.3300,107.4650,108.5000,3905828
2022-07-22,112.0000,112.0000,108.3300,109.2000,4733959
2022-07-21,108.6200,110.7200,108.4106,110.6900,5698031
2022-07-20,106.9900,108.8200,106.8800,108.2300,7300163
2022-07-19,108.4300,109.9950,107.9600,109.9300,5788433
2022-07-18,108.5600,108.9550,106.7000,107.0200,4499890
2022-07-15,107.4100,108.9800,107.2600,108.8200,4617888
2022-07-14,104.6300,105.9200,103.7600,105.7100,4993611
2022-07-13,106.8400,106.9700,105.6800,106.2100,5087746
2022-07-12,108.5000,110.3700,107.6974,108.3000,5756286
2022-07-11,108.6000,109.4000,108.0800,108.8900,4041085
2022-07-08,108.7300,109.9200,108.5500,109.2600,3115701
2022-07-07,108.4800,109.6200,108.2000,109.4900,4148986
2022-07-06,108.8300,109.5000,108.1300,108.6900,3975313
2022-07-05,108.7400,109.4900,107.2000,109.3000,4752359
2022-07-01,108.2100,110.4700,107.6500,110.2200,3291666
2022-06-30,108.0800,109.0800,107.3577,108.6500,6070930
2022-06-29,107.4600,109.6700,106.7388,109.1000,4552069
2022-06-28,109.2500,109.9300,106.9000,106.9700,4195684
2022-06-27,109.9000,110.1000,108.3000,109.0800,3804195
2022-06-24,107.0000,109.6400,106.4300,109.4500,14301628
2022-06-23,105.9500,106.7800,105.0700,106.2100,5064908
2022-06-22,103.5500,106.5800,103.2900,105.4400,5511798
2022-06-21,104.8600,104.9500,103.3300,104.4100,5338273
2022-06-17,101.2400,103.6900,101.2400,102.5300,10249174
2022-06-16,102.4000,102.7500,101.2400,102.0700,4793568
2022-06-15,104.3200,106.0800,102.6600,104.8000,5278086
2022-06-14,105.1000,105.4000,101.9501,102.9400,5890317
2022-06-13,107.6800,108.1000,105.3350,105.9100,5215418
2022-06-10,110.8100,111.4800,109.1000,109.6300,4806646
2022-06-09,114.6400,115.4375,112.6800,112.7100,3424730
2022-06-08,115.7400,116.1500,114.3400,114.6900,3683416
2022-06-07,116.1000,117.2300,115.2200,116.8800,3285596
2022-06-06,117.3800,118.2300,116.0400,116.4200,4205819
2022-06-03,116.7800,117.5500,116.3300,116.5700,3778231
2022-06-02,115.2900,117.6100,113.2300,117.5100,3856668
2022-06-01,117.8500,118.0000,114.5300,115.0800,4890221
2022-05-31,115.5600,118.0900,114.4000,117.4600,10563503
2022-05-27,116.0800,116.9200,115.4750,116.6900,3884809
2022-05-26,113.7800,115.5100,113.2100,114.8700,4027839
2022-05-25,113.2000,114.9400,112.3450,113.1900,3921666
2022-05-24,115.1600,115.1600,111.8300,113.7700,5272691
2022-05-23,113.8500,115.3600,112.9400,115.0300,4357021
2022-05-20,113.4000,113.7200,110.8200,113.2400,4509572
2022-05-19,112.0300,113.0100,110.5200,112.4400,6304787
2022-05-18,113.4200,114.7000,112.2250,112.7400,6933934
2022-05-17,111.5900,115.4300,111.5900,114.5400,9172021
2022-05-16,109.4000,110.5200,107.8100,109.7100,7459031
2022-05-13,108.3600,110.5100,108.3600,109.8800,6159308
2022-05-12,105.5000,108.0200,104.6300,107.9700,8516064
2022-05-11,106.6600,108.0200,105.6600,105.8400,6636064
2022-05-10,108.9100,109.6300,106.2100,106.7500,6248265
2022-05-09,110.6900,111.2000,106.9400,107.3900,6478186
2022-05-06,112.5500,113.6700,110.9700,112.2700,4966926
2022-05-05,114.8600,115.0000,111.6800,113.0100,5703274
2022-05-04,112.5000,116.3300,111.1300,115.7000,5273412
2022-05-03,113.0500,114.3433,111.8200,112.4300,4491506
2022-05-02,113.5000,114.0150,110.2757,112.8300,4904965
2022-04-29,117.0600,117.7700,113.1300,113.5000,6815890
2022-04-28,117.5500,118.7400,116.8300,118.0100,4960091
2022-04-27,117.2900,118.5800,116.1300,116.7200,4178704
2022-04-26,118.6100,119.6400,116.9700,116.9700,3357226
2022-04-25,119.1600,120.3100,117.8400,120.0100,4503493
2022-04-22,123.0200,123.1800,119.5600,119.6400,6710063
2022-04-21,123.1800,124.3500,122.6500,123.3700,7321143
2022-04-20,119.4800,124.0500,117.5000,122.6400,8268807
2022-04-19,116.6800,120.2250,116.6450,119.9800,5120871
2022-04-18,117.0200,118.3300,115.5400,116.2900,4115904
2022-04-14,120.0500,120.2490,117.5600,117.6900,3140189
2022-04-13,117.5600,119.8100,117.2500,119.4800,4407967
2022-04-12,119.7900,120.6100,117.7200,118.3900,4432429
2022-04-11,123.4800,123.5000,119.7750,120.0400,4071229
2022-04-08,123.4200,124.3600,122.1100,123.2500,5094041
2022-04-07,119.6000,124.2100,119.2900,123.3700,5863463
2022-04-06,119.0000,120.1900,117.7600,119.9400,5485138
2022-04-05,118.2600,121.1900,118.1400,119.4800,5977650
2022-04-04,117.8700,118.9800,117.5700,118.8800,4040341
2022-04-01,118.8400,118.9700,117.2600,118.5800,4314111
2022-03-31,120.2100,120.4900,118.1000,118.3600,5432805
2022-03-30,119.8700,120.7400,119.4704,120.3800,4064857
2022-03-29,121.8300,122.0650,119.3099,120.1900,5126112
2022-03-28,119.3800,120.0000,118.7100,119.9900,5350889
2022-03-25,118.6500,119.3100,117.7399,118.9500,2871275
2022-03-24,117.3800,117.8800,116.6100,117.8200,4505761
2022-03-23,121.1100,121.2400,116.7350,116.9200,5656038
2022-03-22,121.8900,122.5300,121.2600,121.8900,4287642
2022-03-21,121.9300,123.0962,121.1600,121.7600,4092450
2022-03-18,121.7400,122.6700,120.6800,122.4500,7677471
2022-03-17,119.0000,121.2400,118.7300,121.2000,3998929
2022-03-16,118.2100,119.5400,116.9600,119.4800,4441833
2022-03-15,117.5000,117.7900,116.2200,117.4800,5041193
2022-03-14,114.9000,117.2100,114.5800,115.5200,5527517
2022-03-11,117.4400,118.0600,113.8800,114.0200,8012571
2022-03-10,117.1800,117.8100,115.7300,117.0000,4377620
2022-03-09,117.9000,119.2000,116.4400,118.3900,5004766
2022-03-08,117.9100,119.0200,115.7100,116.1100,6694194
2022-03-07,120.5400,120.8900,117.2600,118.8600,6632006
2022-03-04,119.9300,121.7600,119.0100,121.4100,5911494
2022-03-03,120.8000,122.0700,120.4900,120.9700,5223115
2022-03-02,118.6200,121.0500,118.2600,120.3600,6419829
2022-03-01,120.3100,121.1600,117.3800,118.1700,6697813
2022-02-28,121.0500,121.0582,119.1500,120.6200,6828353
2022-02-25,118.7200,122.9300,118.5000,122.4100,5837687
2022-02-24,115.0000,118.9150,114.4275,118.7200,6252741
2022-02-23,118.0000,118.8399,116.9900,117.2500,5184241
2022-02-22,116.5400,119.3300,116.1000,117.5100,6584991
2022-02-18,120.0000,120.3100,114.8400,116.7900,12376135
2022-02-17,122.9900,123.1800,120.4700,120.5800,3688344
2022-02-16,123.4500,124.1100,121.5600,123.6800,5078173
2022-02-15,124.1870,125.4199,123.4131,123.9800,5297968
2022-02-14,125.0000,125.5700,121.9800,122.7800,7433877
2022-02-11,127.7800,128.9200,125.1500,125.4900,4803244
2022-02-10,128.5700,129.9200,127.1700,127.7600,5917727
2022-02-09,129.5200,130.7900,129.4200,130.4900,3434199
2022-02-08,127.5300,128.9400,127.1600,128.6500,3890854
2022-02-07,129.8700,129.9500,127.6800,128.0500,4035240
2022-02-04,129.5600,130.5200,128.6000,129.7100,4149683
2022-02-03,128.6300,130.9350,128.2573,130.1100,5613547
2022-02-02,128.2500,130.7400,127.8600,130.0400,7450501
2022-02-01,127.3700,127.6600,126.2400,127.2000,5602013
2022-01-31,125.5200,127.9600,125.1300,127.4600,7210140
2022-01-28,120.7700,125.5300,119.6100,125.3500,8286467
2022-01-27,120.9800,123.1700,119.7400,120.4400,9180134
2022-01-26,119.1900,121.6800,119.0000,120.0700,14753096
2022-01-25,123.0800,124.6217,121.5900,123.2700,9126620
2022-01-24,124.0100,124.5000,120.6800,123.8200,10868714
2022-01-21,126.8100,127.0900,124.8600,125.8300,10132682
2022-01-20,126.2400,127.9100,124.6100,124.7100,8652569
2022-01-19,126.7500,127.5800,125.8300,126.0500,3994939
2022-01-18,127.4000,127.9300,125.5500,126.5700,5802335
2022-01-14,130.4900,130.5900,127.0200,128.1600,9256873
2022-01-13,132.3900,132.8300,129.4300,129.6500,7174538
2022-01-12,134.8900,135.7000,132.5300,133.7200,8416010
2022-01-11,135.2300,135.9700,134.0400,135.7000,5703412
2022-01-10,134.7900,135.5000,133.9200,135.2600,5975633
2022-01-07,134.8800,136.1800,134.3800,135.5600,4367483
2022-01-06,135.0000,136.2100,133.8800,135.1400,5710227
2022-01-05,135.1500,137.0300,135.0700,135.1600,5948372
2022-01-04,139.5000,139.6500,134.7600,135.7700,8241222
2022-01-03,139.4300,139.8301,137.2100,139.0400,6692433
2021-12-31,141.0000,141.7700,140.7200,140.7400,3146605
2021-12-30,141.4100,141.7450,140.5900,141.0000,2809120
2021-12-29,140.4700,141.6600,139.3300,141.1900,2848992
2021-12-28,141.5800,141.7100,140.1300,140.4700,3298743
2021-12-27,139.8200,142.6000,139.4300,141.4600,3802592
2021-12-23,139.6500,140.2300,138.7200,139.1600,3492052
2021-12-22,135.8800,139.0200,135.7900,138.9900,6768868
2021-12-21,136.0200,137.1767,133.4000,135.2700,7153827
2021-12-20,136.2000,137.8100,134.2200,134.9800,6501433
2021-12-17,137.5400,139.2700,136.8900,137.1100,12156222
2021-12-16,135.4400,136.6100,134.6000,136.0900,6984050
2021-12-15,133.5400,135.6700,132.9000,135.5600,6422458
2021-12-14,135.9300,136.0000,132.0000,132.9400,8193321
2021-12-13,134.5000,137.0000,134.5000,135.9600,5094833
2021-12-10,133.4200,134.5000,132.8700,134.3700,4371797
2021-12-09,132.5000,133.1100,131.4800,132.5300,2663411
2021-12-08,132.8000,133.4500,131.1200,132.3700,5389410
2021-12-07,134.0000,134.0800,131.8000,132.4200,5143597
2021-12-06,130.7600,133.2800,130.6100,132.4700,6601840
2021-12-03,128.8750,130.4550,128.0300,130.2700,5254610
2021-12-02,126.2900,129.8500,126.2900,128.3800,5090982
2021-12-01,126.4800,128.4800,125.1200,126.7400,4816874
2021-11-30,128.2000,128.7900,125.3400,125.7700,7270172
2021-11-29,126.3500,128.9400,125.3600,128.0300,5648325
2021-11-26,127.8100,129.7500,125.4400,125.8800,4671350
2021-11-24,124.0650,125.2818,124.0000,125.0700,3729581
