Time,Open,High,Low,Close,Volume
2023-08-31,67.9700,70.5400,67.9700,69.9400,18420869
2023-08-30,67.1900,68.7000,66.5200,68.0900,16892172
2023-08-29,64.9000,67.0300,64.8700,66.6800,9954960
2023-08-28,65.7200,66.1100,64.6600,65.3100,9904856
2023-08-25,63.4600,64.3900,62.6250,63.7200,9409035
2023-08-24,66.1400,66.2400,63.3700,63.6900,12661624
2023-08-23,63.5700,65.6200,63.1700,65.1900,10747418
2023-08-22,64.3000,65.0800,63.2850,63.4100,8877758
2023-08-21,63.6800,64.1950,62.8600,63.9600,11311886
2023-08-18,62.3100,63.8550,61.7500,63.5900,9576535
2023-08-17,64.4900,64.7090,63.4000,63.5600,9933301
2023-08-16,65.0000,65.2299,64.0900,64.2200,9895360
2023-08-15,67.5900,67.6300,65.3200,65.3300,13808529
2023-08-14,64.3700,68.4800,64.2000,68.2800,21953958
2023-08-11,64.9000,65.3100,64.0700,64.3700,11823083
2023-08-10,67.0600,67.4600,64.9300,65.4400,12775328
2023-08-09,67.7800,67.9700,66.6200,66.7000,10043174
2023-08-08,68.7000,68.7600,66.9600,67.6500,14767793
2023-08-07,69.8500,70.2294,68.8300,69.3800,10537537
2023-08-04,69.5000,70.9345,69.1300,69.9100,11255547
2023-08-03,67.5700,69.3900,67.1614,69.1800,11081192
2023-08-02,69.7500,69.8500,67.3400,68.1700,14012010
2023-08-01,71.0000,71.0800,69.8900,70.7600,13153444
2023-07-31,71.1200,71.7700,70.8700,71.3900,11193789
2023-07-28,71.5800,72.1299,70.6550,71.2000,11935820
2023-07-27,70.4800,72.3400,69.9600,71.0700,25068346
2023-07-26,65.0000,67.8800,65.0000,67.3800,14920570
2023-07-25,65.4000,65.9950,65.0800,65.6800,8610906
2023-07-24,65.3600,66.6400,65.2250,65.4800,10275069
2023-07-21,65.2900,66.1600,64.3400,65.6500,24540157
2023-07-20,64.4000,65.5450,64.2500,64.6900,12745070
2023-07-19,65.6300,65.7600,64.8000,64.9600,9463941
2023-07-18,64.3700,65.1200,63.7508,64.9400,10402308
2023-07-17,63.8000,65.6700,63.3400,65.1600,11333639
2023-07-14,64.3000,65.5400,63.6800,64.0800,13860248
2023-07-13,64.1800,64.6450,63.5500,64.5300,11384662
2023-07-12,64.4700,64.7000,63.1250,63.7900,13953588
2023-07-11,62.6000,63.6700,62.3100,63.6000,13464462
2023-07-10,60.8250,62.8300,60.5800,62.4800,16953141
2023-07-07,61.4300,61.4900,60.6250,60.6500,15028085
2023-07-06,60.9900,61.7900,60.5000,61.2300,15622711
2023-07-05,63.5000,63.7500,62.0200,62.0600,16552989
2023-07-03,63.4400,64.3200,63.2550,63.9000,12921258
2023-06-30,64.4950,65.1000,62.9000,63.1100,31549615
2023-06-29,67.8400,67.9500,63.5500,64.3300,51141898
2023-06-28,65.6500,67.7300,65.3900,67.0700,27100091
2023-06-27,65.2700,66.8400,63.7946,66.7900,18305177
2023-06-26,65.6300,66.7000,65.4100,65.4500,13815879
2023-06-23,65.4500,65.9600,64.8400,65.2800,12663593
2023-06-22,65.5300,66.6600,65.5100,66.2500,8646854
2023-06-21,66.7500,67.2000,65.3400,65.8000,10427173
2023-06-20,67.3150,67.6200,65.7700,66.9000,13265684
2023-06-16,70.1500,70.5000,66.0600,67.6600,32259693
2023-06-15,68.5900,69.5200,68.3600,68.8200,11842643
2023-06-14,67.5400,69.2100,67.5200,69.1200,11085818
2023-06-13,68.5550,68.8800,67.6000,67.8700,11911879
2023-06-12,65.8400,67.5400,65.7900,67.4500,14742476
2023-06-09,65.9300,66.4000,64.4650,65.4300,14652510
2023-06-08,66.5020,66.5200,64.0100,65.3200,25856752
2023-06-07,68.4100,68.6650,66.9450,67.0600,14610807
2023-06-06,67.0250,68.8400,66.8150,67.5400,12476560
2023-06-05,69.5000,69.5000,67.5100,67.7700,12441091
2023-06-02,69.9850,70.5450,68.2900,69.1700,13468239
2023-06-01,68.9400,69.7900,68.0950,69.0900,18153026
2023-05-31,68.8950,69.8500,67.9200,68.2000,30381466
2023-05-30,74.3850,74.7699,71.5832,71.6900,24454683
2023-05-26,69.8800,74.5900,69.8000,73.9300,33409984
2023-05-25,69.7450,69.8800,67.5100,69.6100,29021516
2023-05-24,64.9500,66.7300,64.8800,66.5300,15806645
2023-05-23,65.8500,67.5600,65.7100,66.0100,15896231
2023-05-22,65.7500,66.7500,64.7600,66.2300,37491046
2023-05-19,67.5700,68.3900,66.4300,68.1700,16812097
2023-05-18,65.9800,68.5900,65.0800,67.5700,30688019
2023-05-17,64.5800,65.3200,63.4400,64.9200,15947694
2023-05-16,64.5500,65.2200,63.3000,63.7300,15266397
2023-05-15,62.2300,64.8700,61.8000,64.6400,22227199
2023-05-12,61.9900,62.1900,60.1500,60.9200,12131366
2023-05-11,60.5900,61.8100,60.0650,61.6100,15536578
2023-05-10,61.9200,62.3100,59.7900,59.9900,14548695
2023-05-09,59.8800,61.3900,59.5500,60.9300,11895219
2023-05-08,61.2500,61.3450,60.3050,60.8700,11510442
2023-05-05,60.6100,61.7400,60.1050,61.2300,12312661
2023-05-04,60.5500,60.9600,59.9000,60.5100,13357926
2023-05-03,61.4900,62.1800,60.8150,60.9100,10818080
2023-05-02,62.2300,62.5800,61.2450,61.9000,12237630
2023-05-01,63.8900,64.1000,62.3050,62.3500,12823373
2023-04-28,62.4300,64.4350,62.3000,64.3600,18094717
2023-04-27,60.7500,61.9600,60.1300,61.9000,13524587
2023-04-26,59.5750,61.1800,59.3400,61.0200,25307036
2023-04-25,59.1300,59.3400,58.0300,58.1400,15987313
2023-04-24,60.0950,60.8750,59.3500,59.5100,13402645
2023-04-21,61.1500,61.4450,60.7300,61.1300,9606175
2023-04-20,59.8800,61.9500,59.8700,61.4600,14382205
2023-04-19,60.9800,61.2100,60.3800,60.6500,11652635
2023-04-18,63.3300,63.4500,61.4800,61.9300,12175168
2023-04-17,62.2200,62.7700,61.9750,62.5400,11201322
2023-04-14,63.1800,63.2200,61.7650,62.6300,14953015
2023-04-13,61.5100,63.3700,60.7900,63.0000,23286546
2023-04-12,64.3600,64.3600,61.8400,61.9600,16694110
2023-04-11,63.6400,64.2900,63.0400,63.5700,23090190
2023-04-10,61.1800,63.7700,61.0000,63.2700,43280135
2023-04-06,56.9500,59.1500,56.8000,58.5600,21496506
2023-04-05,56.8200,57.1100,56.0100,57.0200,19456216
2023-04-04,59.6750,60.0950,56.9500,57.2700,21303220
2023-04-03,59.8050,59.8050,57.8700,59.6100,23610823
2023-03-31,60.3500,61.6582,59.9000,60.3400,35416496
2023-03-30,64.0300,64.1000,62.4800,63.0900,23038346
2023-03-29,60.9100,64.4200,60.8700,63.5400,51939839
2023-03-28,59.8000,59.8700,57.8150,59.2800,20496261
2023-03-27,61.1900,61.4200,59.1701,59.7900,15901000
2023-03-24,60.5050,61.4000,60.5000,61.1600,18740564
2023-03-23,59.1800,61.7800,59.1300,61.3400,23903101
2023-03-22,58.4000,60.4100,58.0900,58.1700,16949317
2023-03-21,58.3800,59.5200,57.5950,58.6300,14613706
2023-03-20,56.7000,57.8650,56.0800,57.6400,10610206
2023-03-17,56.8000,57.7200,56.2150,56.6600,26655249
2023-03-16,53.6900,56.7100,53.6100,56.5700,14794233
2023-03-15,53.3300,54.2700,52.8800,54.1300,14643637
2023-03-14,54.9700,55.4200,53.7000,54.2700,14657040
2023-03-13,53.9650,54.5500,52.7600,53.9000,17365237
2023-03-10,55.6600,56.5100,54.5300,54.9300,14180699
2023-03-09,56.6400,57.5600,55.5400,55.6000,10199959
2023-03-08,55.8400,56.9200,55.3500,56.8900,11515668
2023-03-07,56.5000,56.7300,55.3100,55.5600,13278335
