Time,Open,High,Low,Close,Volume
2023-08-31,245.5900,248.0200,245.4500,245.6800,5532610
2023-08-30,246.4200,248.2300,246.0500,246.2300,4573291
2023-08-29,243.5000,245.8300,243.4000,245.3400,3975738
2023-08-28,243.0100,245.2300,242.6000,243.8300,3741458
2023-08-25,241.3800,243.4100,240.2100,242.5700,3541533
2023-08-24,242.2500,243.5600,239.3600,239.4700,4570869
2023-08-23,241.3200,242.5400,240.7200,242.3000,4947728
2023-08-22,240.0000,241.4300,238.6700,240.5700,3848688
2023-08-21,239.3800,240.5300,237.7550,239.4600,3573630
2023-08-18,235.5800,239.0500,235.3000,238.1700,4344962
2023-08-17,240.0000,240.3800,236.4900,237.3700,4177578
2023-08-16,236.5300,241.0650,236.0162,239.2900,3218574
2023-08-15,242.0100,242.6700,239.3500,239.8300,3770078
2023-08-14,240.7200,243.3300,240.2600,242.9000,4351136
2023-08-11,240.0000,240.7200,238.4150,240.0400,3607104
2023-08-10,240.6200,243.9500,240.0900,240.1600,4778017
2023-08-09,240.5000,241.9700,239.4900,239.7600,4055027
2023-08-08,240.4200,241.3600,237.3900,239.2900,5080585
2023-08-07,239.2200,242.1800,239.2100,241.5100,5649780
2023-08-04,238.0000,241.9100,237.8400,238.9900,5169670
2023-08-03,236.0000,239.0500,235.2450,238.7600,5034095
2023-08-02,238.6300,238.7900,236.7900,237.5600,4868402
2023-08-01,237.1400,240.7300,237.0000,239.7800,4629291
2023-07-31,236.0000,238.4200,236.0000,237.7300,4799690
2023-07-28,234.5800,235.8800,233.7100,235.7500,6795307
2023-07-27,237.4200,238.6600,232.9600,234.4400,8160062
2023-07-26,231.4150,238.8500,227.6800,237.1000,7551396
2023-07-25,240.0200,240.8000,238.5600,238.6900,4997534
2023-07-24,239.6800,241.2750,238.1900,240.7400,6009950
2023-07-21,239.7400,240.3450,238.7300,239.2500,5427353
2023-07-20,241.1600,241.6100,239.0700,239.6200,4694950
2023-07-19,241.2500,242.5900,240.1200,241.4200,4835518
2023-07-18,243.1000,243.1800,237.6800,240.7700,7674704
2023-07-17,243.1100,245.3700,243.0000,243.9900,4328605
2023-07-14,244.7300,244.7400,241.9600,243.1600,4941178
2023-07-13,243.7900,244.2650,243.1500,243.3100,5819609
2023-07-12,241.5500,243.9500,241.2300,242.2100,6116018
2023-07-11,238.8100,240.7000,238.1200,240.5500,3857069
2023-07-10,237.0100,239.0957,236.5000,238.1600,4858862
2023-07-07,236.7300,238.4400,236.1300,236.4500,5729515
2023-07-06,238.2700,239.6000,236.6900,238.8800,6442089
2023-07-05,234.4100,240.0000,233.9908,239.4500,7601399
2023-07-03,237.0000,238.4000,235.4100,237.9700,3087351
2023-06-30,236.2700,238.2800,235.9500,237.4800,6879444
2023-06-29,228.7900,234.7000,228.6010,234.3200,7118889
2023-06-28,227.5000,228.0600,226.0200,227.9600,5324532
2023-06-27,227.4800,228.6100,226.5200,227.3400,4628474
2023-06-26,229.4400,230.1000,226.2000,226.3000,5165372
2023-06-23,227.2200,229.9800,226.3900,229.5500,5424352
2023-06-22,226.3600,228.9300,225.5000,228.3900,6275806
2023-06-21,226.1200,228.6300,224.9800,227.2500,7032143
2023-06-20,227.0000,229.5675,226.1800,226.4700,12312629
2023-06-16,226.4500,229.7995,226.0800,228.9100,13628902
